authors,title
Suzanne Collins,"The Hunger Games (The Hunger Games, #1)"
"J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
Stephenie Meyer,"Twilight (Twilight, #1)"
Harper Lee,To Kill a Mockingbird
F. Scott Fitzgerald,The Great Gatsby
John Green,The Fault in Our Stars
J.R.R. Tolkien,The Hobbit
J.D. Salinger,The Catcher in the Rye
Dan Brown,"Angels & Demons  (Robert Langdon, #1)"
Jane Austen,Pride and Prejudice
Khaled Hosseini,The Kite Runner
Veronica Roth,"Divergent (Divergent, #1)"
"George Orwell, Erich Fromm, Celâl Üster",1984
George Orwell,Animal Farm
"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",The Diary of a Young Girl
"Stieg Larsson, Reg Keeland","The Girl with the Dragon Tattoo (Millennium, #1)"
Suzanne Collins,"Catching Fire (The Hunger Games, #2)"
"J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
J.R.R. Tolkien,"The Fellowship of the Ring (The Lord of the Rings, #1)"
Suzanne Collins,"Mockingjay (The Hunger Games, #3)"
"J.K. Rowling, Mary GrandPré","Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
Alice Sebold,The Lovely Bones
"J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2)"
"J.K. Rowling, Mary GrandPré","Harry Potter and the Goblet of Fire (Harry Potter, #4)"
"J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)"
Dan Brown,"The Da Vinci Code (Robert Langdon, #2)"
"J.K. Rowling, Mary GrandPré","Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
William Golding,Lord of the Flies
"William Shakespeare, Robert           Jackson",Romeo and Juliet
Gillian Flynn,Gone Girl
Kathryn Stockett,The Help
John Steinbeck,Of Mice and Men
Arthur Golden,Memoirs of a Geisha
E.L. James,"Fifty Shades of Grey (Fifty Shades, #1)"
"Paulo Coelho, Alan R. Clarke",The Alchemist
Lois Lowry,"The Giver (The Giver, #1)"
C.S. Lewis,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)"
Audrey Niffenegger,The Time Traveler's Wife
George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)"
Elizabeth Gilbert,"Eat, Pray, Love"
Rick Riordan,"The Lightning Thief (Percy Jackson and the Olympians, #1)"
Louisa May Alcott,"Little Women (Little Women, #1)"
"Charlotte Brontë, Michael Mason",Jane Eyre
Nicholas Sparks,"The Notebook (The Notebook, #1)"
Yann Martel,Life of Pi
Sara Gruen,Water for Elephants
Markus Zusak,The Book Thief
Ray Bradbury,Fahrenheit 451
Stephenie Meyer,"New Moon (Twilight, #2)"
Shel Silverstein,Where the Sidewalk Ends
Cassandra Clare,"City of Bones (The Mortal Instruments, #1)"
Stephenie Meyer,"Eclipse (Twilight, #3)"
Christopher Paolini,"Eragon (The Inheritance Cycle, #1)"
Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
Aldous Huxley,Brave New World
Stephenie Meyer,"Breaking Dawn (Twilight, #4)"
Sue Monk Kidd,The Secret Life of Bees
"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn
"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web
Mark Haddon,The Curious Incident of the Dog in the Night-Time
Paula Hawkins,The Girl on the Train
Philip Pullman,"The Golden Compass (His Dark Materials, #1)"
"Emily Brontë, Richard J. Dunn",Wuthering Heights
Jodi Picoult,My Sister's Keeper
Kurt Vonnegut Jr.,Slaughterhouse-Five
Margaret Mitchell,Gone with the Wind
Khaled Hosseini,A Thousand Splendid Suns
Stephen Chbosky,The Perks of Being a Wallflower
Veronica Roth,"Insurgent (Divergent, #2)"
Orson Scott Card,"Ender's Game (Ender's Saga, #1)"
"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Frankenstein
Stephen King,The Shining (The Shining #1)
Stephenie Meyer,"The Host (The Host, #1)"
John Green,Looking for Alaska
Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)"
"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility
"Louis Sachar, Louis Sachar","Holes (Holes, #1)"
Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)"
"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",The Odyssey
"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",The Little Prince
Jeannette Walls,The Glass Castle
Jon Krakauer,Into the Wild
"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities
Michael Crichton,"Jurassic Park (Jurassic Park, #1)"
Shel Silverstein,The Giving Tree
John Grisham,A Time to Kill
"Elie Wiesel, Marion Wiesel",Night (The Night Trilogy #1)
John Green,Paper Towns
William Goldman,The Princess Bride 
S.E. Hinton,The Outsiders
James Dashner,"The Maze Runner (Maze Runner, #1)"
"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)"
Frances Hodgson Burnett,The Secret Garden
"Gabriel García Márquez, Gregory Rabassa",One Hundred Years of Solitude
"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray
E.L. James,"Fifty Shades Freed (Fifty Shades, #3)"
"Bram Stoker, Nina Auerbach, David J. Skal",Dracula
"Stieg Larsson, Reg Keeland","The Girl Who Played with Fire (Millennium, #2)"
