"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"28748","615758","","998","Nutrient Removed","6"
"28750","615758","","998","Description","2"
"28752","615758","","998","Nutrient Added","5"
"28754","615758","","998","Serving Size","7"
"28756","615760","","998","Nutrient Updated","4"
"28758","615760","","998","Description","2"
"28760","615760","","998","Nutrient Added","5"
"28762","615762","","998","Description","2"
"28764","615764","","998","Nutrient Updated","4"
"28766","615764","","998","Description","2"
"28768","615764","","998","Nutrient Added","5"
"28770","615764","","998","Nutrient Removed","6"
"28772","615766","","998","Description","2"
"28774","615766","","998","Nutrient Updated","4"
"28776","615766","","998","Nutrient Removed","6"
"28778","615766","","998","Nutrient Added","5"
"28780","615770","","998","Nutrient Updated","4"
"28782","615770","","998","Ingredients","3"
"28784","615770","","998","Nutrient Removed","6"
"28786","615770","","998","Nutrient Added","5"
"28788","615770","","998","Description","2"
"28790","615772","","998","Description","2"
"28792","615774","","998","Description","2"
"28794","615776","","998","Description","2"
"28796","615778","","998","Description","2"
"28798","615780","","998","Ingredients","3"
"28800","615780","","998","Description","2"
"28802","615780","","998","Nutrient Updated","4"
"28804","615782","","998","Description","2"
"28806","615784","","998","Description","2"
"28808","615786","","998","Description","2"
"28810","615790","","998","Nutrient Updated","4"
"28812","615790","","998","Serving Size","7"
"28814","615790","","998","Ingredients","3"
"28816","615790","","998","Nutrient Removed","6"
"28818","615792","","998","Ingredients","3"
"28820","615792","","998","Nutrient Removed","6"
"28822","615792","","998","Nutrient Updated","4"
"28824","615792","","998","Serving Size","7"
"28826","615794","","998","Serving Size","7"
"28828","615794","","998","Nutrient Updated","4"
"28830","615794","","998","Ingredients","3"
"28832","615796","","998","Description","2"
"28834","615796","","998","Ingredients","3"
"28836","615796","","998","Nutrient Updated","4"
"28838","615798","","998","Nutrient Updated","4"
"28840","615798","","998","Nutrient Removed","6"
"28842","615798","","998","Serving Size","7"
"28844","615798","","998","Nutrient Added","5"
"28846","615800","","998","Nutrient Added","5"
"28848","615800","","998","Serving Size","7"
"28850","615800","","998","Nutrient Updated","4"
"28852","615800","","998","Nutrient Removed","6"
"28854","615804","","998","Serving Size","7"
"28856","615804","","998","Nutrient Added","5"
"28858","615804","","998","Nutrient Removed","6"
"28860","615804","","998","Nutrient Updated","4"
"28862","615806","","998","Nutrient Removed","6"
"28864","615806","","998","Serving Size","7"
"28866","615806","","998","Nutrient Added","5"
"28868","615806","","998","Nutrient Updated","4"
"28870","615808","","998","Ingredients","3"
"28872","615808","","998","Description","2"
"28874","615808","","998","Nutrient Updated","4"
"28876","615810","","998","Description","2"
"28886","615812","","998","Description","2"
"28888","615812","","998","Nutrient Updated","4"
"28890","615814","","998","Nutrient Added","5"
"28892","615814","","998","Description","2"
"28894","615814","","998","Nutrient Updated","4"
"28896","615814","","998","Ingredients","3"
"28898","615814","","998","Nutrient Removed","6"
"28900","615816","","998","Ingredients","3"
"28902","615816","","998","Description","2"
"28904","615818","","998","Serving Size","7"
"28906","615818","","998","Nutrient Removed","6"
"28908","615818","","998","Nutrient Added","5"
"28910","615818","","998","Description","2"
"28912","615818","","998","Ingredients","3"
"28914","615818","","998","Nutrient Updated","4"
"28916","615820","","998","Nutrient Removed","6"
"28918","615820","","998","Nutrient Updated","4"
"28920","615820","","998","Nutrient Added","5"
"28922","615820","","998","Description","2"
"28924","615822","","998","Nutrient Added","5"
"28926","615822","","998","Ingredients","3"
"28928","615822","","998","Nutrient Updated","4"
"28930","615822","","998","Nutrient Removed","6"
"28932","615824","","998","Description","2"
"28934","615826","","998","Food Category","1"
"28936","615826","","998","Serving Size","7"
"28938","615826","","998","Description","2"
"28940","615826","","998","Nutrient Updated","4"
"28942","615826","","998","Nutrient Added","5"
"28944","615826","","998","Ingredients","3"
"28946","615826","","998","Nutrient Removed","6"
"28948","615828","","998","Description","2"
"28950","615830","","998","Nutrient Updated","4"
